Evidence ID,Product ID,Supplier ID,Evidence type,Evidence statement,Source IDs,Document IDs,Regulatory placeholder,Review status,Reviewer,Confidence,Related gap/action
EVID-001,PROD-001,SUP-002,Product page,"Tri-Flow Superior Lubricant Aerosol is identified on the public product page with 6 oz SKU TF200050 and 12 oz SKU TF200060.",SRC-001,DOC-001,N/A,Reviewed for demo,Liberty Tree demo reviewer,High,ACTION-002
EVID-002,PROD-001,SUP-002,Product page,"The public product page states that the product is formulated with P.T.F.E.; this is PFAS-relevant terminology but not a complete PFAS declaration.",SRC-001,DOC-001,N/A,Reviewed for demo,Liberty Tree demo reviewer,Medium,GAP-001; GAP-004; ACTION-001; ACTION-003
EVID-003,PROD-001,SUP-001,SDS candidate,"The product page English SDS link resolves to a Safety Data Sheet titled TRI-FLOW Superior Foaming Lubricant with PTFE and product code TFF020015; product match is not confirmed.",SRC-002,DOC-002,N/A,Reviewed for demo,Liberty Tree demo reviewer,Low,GAP-002; ACTION-002
EVID-004,PROD-001,SUP-001,SDS candidate,"The product page MSDS English link resolves to a document titled TRI-FLOW Industrial Lubricant for TF20000 SERIES and lists product numbers TF20005 20006 20009 and 20025; relationship to product-page SKUs needs supplier confirmation.",SRC-003,DOC-003,N/A,Reviewed for demo,Liberty Tree demo reviewer,Medium for source existence; Low for product-specific conclusion,GAP-002; ACTION-002
EVID-005,PROD-001,SUP-001,SDS composition review,"Section 3 of the TF20000 SERIES SDS lists reportable hazardous ingredients but does not provide a full formulation or PTFE concentration; SDS silence cannot be used to conclude PFAS absence.",SRC-003,DOC-003,N/A,Reviewed for demo,Liberty Tree demo reviewer,Medium,GAP-004; ACTION-003
EVID-006,PROD-001,SUP-001,SDS regulatory information,"Section 15 of the TF20000 SERIES SDS references TSCA 5(a)2 final significant new use rules and 40 CFR 721.10536; applicability is not assessed in this sample.",SRC-003,DOC-003,REG-CIT-001,Reviewed for demo,Liberty Tree demo reviewer,Medium,GAP-005; ACTION-004
EVID-007,PROD-001,N/A,Regulatory source control,"The eCFR page for 40 CFR 721.10536 is indexed because it is referenced by SDS candidate DOC-003; no regulatory conclusion is made.",SRC-006,DOC-006,REG-CIT-001,Indexed; not legally analyzed,Liberty Tree demo reviewer,Pending,GAP-005; ACTION-004
EVID-008,PROD-001,SUP-002,Supplier contact,"The Tri-Flow contact page provides public contact routes for product and technical questions; it does not provide a PFAS declaration.",SRC-004,DOC-004,N/A,Reviewed for demo,Liberty Tree demo reviewer,High,GAP-001; ACTION-001; ACTION-002; ACTION-003
EVID-009,PROD-001,N/A,Agency background,"EPA PFAS Explained is indexed for general context that PFAS are widely used and include many chemicals; it is not product-specific and is not used as a compliance requirement.",SRC-005,DOC-005,REG-CIT-002,Reviewed for demo,Liberty Tree demo reviewer,Medium,GAP-005

